region_id,region_label,west,east,south,north,raw_path,processed_3857_path,display_path,coverage_path,metadata_path,raw_cached,processed_cached,display_cached,coverage_cached,service_status,gmrt_version,notes
funafuti_gilbert,Funafuti and Gilbert Islands,170,180,-12,5,C:/Projects/USS_Terror_Map/data/external/gmrt/raw/funafuti_gilbert.tif,C:/Projects/USS_Terror_Map/data/external/gmrt/processed/funafuti_gilbert_epsg3857.tif,C:/Projects/USS_Terror_Map/data/external/gmrt/processed/funafuti_gilbert_display.tif,C:/Projects/USS_Terror_Map/data/external/gmrt/processed/funafuti_gilbert_coverage.tif,C:/Projects/USS_Terror_Map/data/external/gmrt/metadata/funafuti_gilbert.json,FALSE,FALSE,FALSE,FALSE,Both WMS capabilities returned HTTP 200; GridServer metadata returned JSON; 64-pixel ImageServer test returned image/jpeg,4.5.0,No download occurs during inventory; explicit confirmation and size validation are required.
marshall_islands,Marshall Islands,160,174,5,14,C:/Projects/USS_Terror_Map/data/external/gmrt/raw/marshall_islands.tif,C:/Projects/USS_Terror_Map/data/external/gmrt/processed/marshall_islands_epsg3857.tif,C:/Projects/USS_Terror_Map/data/external/gmrt/processed/marshall_islands_display.tif,C:/Projects/USS_Terror_Map/data/external/gmrt/processed/marshall_islands_coverage.tif,C:/Projects/USS_Terror_Map/data/external/gmrt/metadata/marshall_islands.json,FALSE,FALSE,FALSE,FALSE,Both WMS capabilities returned HTTP 200; GridServer metadata returned JSON; 64-pixel ImageServer test returned image/jpeg,4.5.0,No download occurs during inventory; explicit confirmation and size validation are required.
marianas_ulithi,Marianas and Ulithi,137,147,8,22,C:/Projects/USS_Terror_Map/data/external/gmrt/raw/marianas_ulithi.tif,C:/Projects/USS_Terror_Map/data/external/gmrt/processed/marianas_ulithi_epsg3857.tif,C:/Projects/USS_Terror_Map/data/external/gmrt/processed/marianas_ulithi_display.tif,C:/Projects/USS_Terror_Map/data/external/gmrt/processed/marianas_ulithi_coverage.tif,C:/Projects/USS_Terror_Map/data/external/gmrt/metadata/marianas_ulithi.json,FALSE,FALSE,FALSE,FALSE,Both WMS capabilities returned HTTP 200; GridServer metadata returned JSON; 64-pixel ImageServer test returned image/jpeg,4.5.0,No download occurs during inventory; explicit confirmation and size validation are required.
iwo_jima,Iwo Jima,140,143,23,27,C:/Projects/USS_Terror_Map/data/external/gmrt/raw/iwo_jima.tif,C:/Projects/USS_Terror_Map/data/external/gmrt/processed/iwo_jima_epsg3857.tif,C:/Projects/USS_Terror_Map/data/external/gmrt/processed/iwo_jima_display.tif,C:/Projects/USS_Terror_Map/data/external/gmrt/processed/iwo_jima_coverage.tif,C:/Projects/USS_Terror_Map/data/external/gmrt/metadata/iwo_jima.json,FALSE,FALSE,FALSE,FALSE,Both WMS capabilities returned HTTP 200; GridServer metadata returned JSON; 64-pixel ImageServer test returned image/jpeg,4.5.0,No download occurs during inventory; explicit confirmation and size validation are required.
kerama_okinawa,Kerama Retto and Okinawa,126,129,25,28,C:/Projects/USS_Terror_Map/data/external/gmrt/raw/kerama_okinawa.tif,C:/Projects/USS_Terror_Map/data/external/gmrt/processed/kerama_okinawa_epsg3857.tif,C:/Projects/USS_Terror_Map/data/external/gmrt/processed/kerama_okinawa_display.tif,C:/Projects/USS_Terror_Map/data/external/gmrt/processed/kerama_okinawa_coverage.tif,C:/Projects/USS_Terror_Map/data/external/gmrt/metadata/kerama_okinawa.json,FALSE,FALSE,FALSE,FALSE,Both WMS capabilities returned HTTP 200; GridServer metadata returned JSON; 64-pixel ImageServer test returned image/jpeg,4.5.0,No download occurs during inventory; explicit confirmation and size validation are required.
sasebo_western_japan,Sasebo and western Japan,128.5,131,32,34.5,C:/Projects/USS_Terror_Map/data/external/gmrt/raw/sasebo_western_japan.tif,C:/Projects/USS_Terror_Map/data/external/gmrt/processed/sasebo_western_japan_epsg3857.tif,C:/Projects/USS_Terror_Map/data/external/gmrt/processed/sasebo_western_japan_display.tif,C:/Projects/USS_Terror_Map/data/external/gmrt/processed/sasebo_western_japan_coverage.tif,C:/Projects/USS_Terror_Map/data/external/gmrt/metadata/sasebo_western_japan.json,FALSE,FALSE,FALSE,FALSE,Both WMS capabilities returned HTTP 200; GridServer metadata returned JSON; 64-pixel ImageServer test returned image/jpeg,4.5.0,No download occurs during inventory; explicit confirmation and size validation are required.
