filename,original_path,project_relative_path,file_type,file_size_bytes,modified_date,sha256,read_status,row_or_feature_count,notes
Ryan-BookUSSTerror-1.pdf,C:/Projects/USSTerrorMap/data/raw/Ryan-BookUSSTerror-1.pdf,data/raw/Ryan-BookUSSTerror-1.pdf,PDF,6395655,2026-07-19 19:46:43 +0900,a3d68faa6ac331256ab3f6f5e1a1122d5b46f4a1b6fe8136a4392d64b515aedf,inventoried_not_parsed,,Auxiliary historical source; inventoried but not parsed as a canonical table. Original upstream location was not established; this is the pre-existing project copy.
uss_terror_pacific_timeline_1943_1946.xlsx,C:/Projects/USSTerrorMap/data/raw/uss_terror_pacific_timeline_1943_1946.xlsx,data/raw/uss_terror_pacific_timeline_1943_1946.xlsx,XLSX,39888,2026-07-19 19:43:08 +0900,f6579acebd3292046087ad14396818141d10a34d8789b8ac4180573c06a789c4,read,165,Original upstream location was not established; this is the pre-existing project copy.
uss_terror_route_legs_1943_1946.csv,C:/Projects/USSTerrorMap/data/raw/uss_terror_route_legs_1943_1946.csv,data/raw/uss_terror_route_legs_1943_1946.csv,CSV,15154,2026-07-19 19:43:42 +0900,da3d5accd38c1724671667f1cf2305d654c32df8c568a70585cd2e59e6a985d7,read,57,Original upstream location was not established; this is the pre-existing project copy.
uss_terror_timeline_1943_1946.csv,C:/Projects/USSTerrorMap/data/raw/uss_terror_timeline_1943_1946.csv,data/raw/uss_terror_timeline_1943_1946.csv,CSV,22613,2026-07-19 19:43:35 +0900,b58dbcf3e2d4fc3f0d3ac71692a8df07fb49856e921ae9ae15a4abeedfc42435,read,61,Original upstream location was not established; this is the pre-existing project copy.
uss_terror_timeline_and_route_1943_1946.geojson,C:/Projects/USSTerrorMap/data/raw/uss_terror_timeline_and_route_1943_1946.geojson,data/raw/uss_terror_timeline_and_route_1943_1946.geojson,GEOJSON,98847,2026-07-19 19:43:50 +0900,e487fd37e1aa777f1dad783a07b056018c0d7429d999a8fbcda085045504715c,read,118,Original upstream location was not established; this is the pre-existing project copy.
